Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.142291268345538,0.108885138044595,0.08156562606571,0,0,0,5.32485366509132,0.0149048926646327,-1.47975198131889E-06,-8.06521337684515E-06,0.0219378727233068,-4.01751561825294E-06,0.0232029020939229,0,0,0,0,0,0,package://4wheel_ball/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://4wheel_ball/meshes/base_link.STL,,Body-1,좌표계1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
right_front_suspension,0.072447,-0.0024231,-0.066755,0,0,0,0.26437,3.2075E-05,1.4412E-07,6.3085E-08,6.227E-05,-2.0189E-07,6.2852E-05,0,0,0,0,0,0,package://4wheel_ball/meshes/right_front_suspension.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_ball/meshes/right_front_suspension.STL,,Suspensionsystem2-1,Origin_right_front_suspension,Axis_right_front_suspension,right_front_suspension,prismatic,-0.012128,-0.10492,-0.047207,2.834,0,1.5708,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
right_front_wheel,0.014171,0,-1.3878E-17,0,0,0,0.23877,0.00029907,-3.9522E-37,6.92E-37,0.00016737,-8.4703E-22,0.00016737,0,0,0,0,0,0,package://4wheel_ball/meshes/right_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_ball/meshes/right_front_wheel.STL,,wheel-1,Origin_right_front_wheel,Axis_right_front_wheel,right_front_wheel,continuous,0,0.00097405,-0.03369,-1.3077,0,0,right_front_suspension,1,0,0,3.1,7,,,,,,,,,,
left_front_suspension,0.066688,0.0036428,-0.064837,0,0,0,0.26437,3.2075E-05,-1.4412E-07,-6.3085E-08,6.227E-05,-2.0189E-07,6.2852E-05,0,0,0,0,0,0,package://4wheel_ball/meshes/left_front_suspension.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_ball/meshes/left_front_suspension.STL,,Suspensionsystem-1,Origin_left_front_suspension,Axis_left_front_suspension,left_front_suspension,prismatic,-0.050812,0.31516,-0.047207,2.834,0,-1.5708,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
left_front_wheel,-0.008411,-1.3878E-17,0,0,0,0,0.23877,0.00029907,3.5444E-22,-1.8433E-21,0.00016737,6.7763E-21,0.00016737,0,0,0,0,0,0,package://4wheel_ball/meshes/left_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://4wheel_ball/meshes/left_front_wheel.STL,,wheel-2,Origin_left_front_wheel,Axis_left_front_wheel,left_front_wheel,continuous,0,-0.018219,-0.039786,-0.026787,0,3.1416,left_front_suspension,1,0,0,3.1,7,,,,,,,,,,
right_back_suspension,-0.0067868,0.020675,0.059195,0,0,0,0.11411,7.8941E-05,5.5532E-22,1.1472E-06,5.1512E-05,5.8797E-21,7.839E-05,0,0,0,0,0,0,package://4wheel_ball/meshes/right_back_suspension.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_ball/meshes/right_back_suspension.STL,,back_ball-1,Origin_right_back_suspension,Axis_right_back_suspension,right_back_suspension,prismatic,-0.24766,-0.12539,0,-1.5708,0,-0.67945,base_link,0,1,0,0,0,0,0,,,,,,,,
left_back_suspension,-0.0067868,0.020675,0.059195,0,0,0,0.11411,7.8941E-05,1.7655E-21,1.1472E-06,5.1512E-05,3.4905E-21,7.839E-05,0,0,0,0,0,0,package://4wheel_ball/meshes/left_back_suspension.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://4wheel_ball/meshes/left_back_suspension.STL,,back_ball-2,Origin_left_back_suspension,Axis_left_back_suspension,left_back_suspension,prismatic,-0.18234,0.34139,0,-1.5708,0,2.4621,base_link,0,1,0,0,0,0,0,,,,,,,,
cam1,0.049836,0.061784,0.068723,0,0,0,0.043612,4.2948E-06,-8.8548E-10,-1.0183E-09,2.2106E-05,2.1758E-08,2.3571E-05,0,0,0,0,0,0,package://4wheel_ball/meshes/cam1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://4wheel_ball/meshes/cam1.STL,,Webcam_C920-1,Origin_cam1,,cam1,fixed,-0.10428,0.058165,0.12322,2.3562,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
cam2,0.051723,0.061784,0.068723,0,0,0,0.043612,4.2948E-06,-8.8579E-10,-1.0181E-09,2.2106E-05,2.1758E-08,2.3571E-05,0,0,0,0,0,0,package://4wheel_ball/meshes/cam2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://4wheel_ball/meshes/cam2.STL,,Webcam_C920-2,Origin_cam2,Axis_cam2,cam2,prismatic,-0.080078,0.038079,0.092502,1.5708,0,1.5708,base_link,1,0,0,0,0,0,0,,,,,,,,
lidar,-0.09228,0.74443,0.065856,0,0,0,0.073085,1.9581E-05,-4.284E-07,1.0393E-07,4.1418E-05,-9.4012E-09,2.4125E-05,0,0,0,0,0,0,package://4wheel_ball/meshes/lidar.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://4wheel_ball/meshes/lidar.STL,,RPLidar-1,Origin_lidar,Axis_lidar,lidar,prismatic,-0.1518,0.076069,-0.5487,1.5708,0,2.9404,base_link,0.19986,0,0.97983,0,0,0,0,,,,,,,,
